"row ID","name","mfr","type","calories","protein","fat","sodium","fiber","carbo","sugars","potass","vitamins","shelf","weight","cups","rating","calories type(prediction)"
"Row3","All-Bran with Extra Fiber","K","C",50,4,0,140,14.0,8.0,0,330,25,3,1.0,0.5,93.704912,"C"
"Row4","Almond Delight","R","C",110,2,2,200,1.0,14.0,8,-1,25,3,1.0,0.75,34.384843,"C"
"Row5","Apple Cinnamon Cheerios","G","C",110,2,2,180,1.5,10.5,10,70,25,1,1.0,0.75,29.509541,"C"
"Row8","Bran Chex","R","C",90,2,1,200,4.0,15.0,6,125,25,1,1.0,0.67,49.120253,"C"
"Row15","Corn Chex","R","C",110,2,0,280,0.0,22.0,3,25,25,1,1.0,1.0,41.445019,"C"
"Row20","Cream of Wheat (Quick)","N","H",100,3,0,80,1.0,21.0,0,-1,0,2,1.0,1.0,64.533816,"C"
"Row21","Crispix","K","C",110,2,0,220,1.0,21.0,3,30,25,3,1.0,1.0,46.895644,"C"
"Row25","Frosted Flakes","K","C",110,1,0,200,1.0,14.0,11,25,25,1,1.0,0.75,31.435973,"C"
"Row26","Frosted Mini-Wheats","K","C",100,3,0,0,3.0,14.0,7,100,25,2,1.0,0.8,58.345141,"C"
"Row27","Fruit & Fibre Dates; Walnuts; and Oats","P","C",120,3,2,160,5.0,12.0,10,200,25,3,1.25,0.67,40.917047,"C"
"Row30","Golden Crisp","P","C",100,2,0,45,0.0,11.0,15,40,25,1,1.0,0.88,35.252444,"C"
"Row31","Golden Grahams","G","C",110,1,1,280,0.0,15.0,9,45,25,2,1.0,0.75,23.804043,"C"
"Row41","Life","Q","C",100,4,2,150,2.0,12.0,6,95,25,2,1.0,0.67,45.328074,"C"
"Row42","Lucky Charms","G","C",110,2,1,180,0.0,12.0,12,55,25,2,1.0,1.0,26.734515,"C"
"Row47","Multi-Grain Cheerios","G","C",100,2,1,220,2.0,15.0,6,90,25,1,1.0,1.0,40.105965,"C"
"Row48","Nut&Honey Crunch","K","C",120,2,1,190,0.0,15.0,9,40,25,2,1.0,0.67,29.924285,"C"
"Row49","Nutri-Grain Almond-Raisin","K","C",140,3,2,220,3.0,21.0,7,130,25,3,1.33,0.67,40.69232,"C"
"Row51","Oatmeal Raisin Crisp","G","C",130,3,2,170,1.5,13.5,10,120,25,3,1.25,0.5,30.450843,"C"
"Row57","Quaker Oatmeal","Q","H",100,5,2,0,2.7,-1.0,-1,110,0,1,1.0,0.67,50.828392,"C"
"Row62","Rice Krispies","K","C",110,2,0,290,0.0,22.0,3,35,25,1,1.0,1.0,40.560159,"C"
"Row69","Total Corn Flakes","G","C",110,2,1,200,0.0,21.0,3,35,100,3,1.0,1.0,38.839746,"C"
"Row71","Total Whole Grain","G","C",100,3,1,200,3.0,16.0,3,110,100,3,1.0,1.0,46.658844,"C"
"Row72","Triples","G","C",110,2,1,250,0.0,21.0,3,60,25,3,1.0,0.75,39.106174,"C"
"Row74","Wheat Chex","R","C",100,3,1,230,3.0,17.0,3,115,25,1,1.0,0.67,49.787445,"C"
